ad,keyword,landing_page
"Find porn sites",adult porn,,
"Try ProjectFlow — project management for modern teams",project flow,,
"Lose 30 pounds in 30 days, guaranteed!",,
"Best weight loss supplement — doctors hate this trick",,
"Dental implants for free, dental implants for seniors",,
"Buy cheap Xanax without a prescription — shipped overnight",,
"Get designer handbags at 50% off — limited stock",handbags for sale,,
"Open a high-yield savings account today — 5% APY, FDIC insured",,
"Earn $5,000 a week from home — guaranteed, no experience needed",,
"Cloud storage for your business — 1 TB free, no credit card required",,
